District,Name of Veterinary Hospital,Hospital Type
Thiruvananthapuram,"VH-CHIRAYINKEEZHU,KIZHUVILAM,MUDAPURAM,695314",VETERINARY HOSPITAL
Thiruvananthapuram,"VH-KALLAMBALAM,OTTOOR,KALLAMBALAM,695605",VETERINARY HOSPITAL
Thiruvananthapuram,"VH-KANJIRAMKULAM,KANHIRAMKULAM,KANJIRAMKULAM,695534",VETERINARY HOSPITAL
Thiruvananthapuram,"VH-KATTAKKADA,KATTAKKADA,KATTAKKADA,695572",VETERINARY HOSPITAL
Thiruvananthapuram,"VH-KAZHAKUTTAM,KAZHAKKOOTTAM,KAZHAKUTTAM,695582",VETERINARY HOSPITAL
Thiruvananthapuram,"VH-KILIMANOOR,KILIMANOOR,KILIMANOOR,695601",VETERINARY HOSPITAL
Thiruvananthapuram,"VH-KOITHURKONAM,ANDOORKKONAM,POTHENCODE,695584",VETERINARY HOSPITAL
Thiruvananthapuram,"VH-MALAYINKIL,MALAYINKEEZHU,MALYINKIL,695571",VETERINARY HOSPITAL
Thiruvananthapuram,"VH-MITHIRMALA,KALLARA,KALLARA,695608",VETERINARY HOSPITAL
Thiruvananthapuram,"VH-NALANCHIRA,NALANCHIRA,695015",VETERINARY HOSPITAL
Thiruvananthapuram,"VH-NEYYATTINKARA,NEYYATTINKARA,695121",VETERINARY HOSPITAL
Thiruvananthapuram,"VH-PALLICHAL,PALLICHAL,NEMOM,695020",VETERINARY HOSPITAL
Thiruvananthapuram,"VH-PETTAH,PETTAH,695024",VETERINARY HOSPITAL
Thiruvananthapuram,"VH-THAKARAPARAMBU,MADAVOOR,MADAVOOR,695602",VETERINARY HOSPITAL
Thiruvananthapuram,"VH-THIRUVALLAM,VENGANUR,THIRUVALLAM,695027",VETERINARY HOSPITAL
Thiruvananthapuram,"VH-UCHAKADA,KOTTUKAL,PAYATTUVILA,695501",VETERINARY HOSPITAL
Thiruvananthapuram,"VH-VAMANAPURAM,VAMANAPURAM ,VENJARAMOODU,695607",VETERINARY HOSPITAL
Thiruvananthapuram,"VH-VARKALA,CHERUNNIYOOR,695142",VETERINARY HOSPITAL
Thiruvananthapuram,"VH-VELLAMKOLLY,NAGARUR,ALTHARAMOODU,695522",VETERINARY HOSPITAL
Thiruvananthapuram,"VH-VENGODE,MANGALAPURAM,KUDAVOOR,695313",VETERINARY HOSPITAL
Thiruvananthapuram,"VH-VIZHINJAM,VIZHINJAM,VIZHINJAM,695521",VETERINARY HOSPITAL
Thiruvananthapuram,"VPC-NEDUMANGAD,NEDUMANGAD,NEDUMANGAD,695541",VETERINARY POLY CLINIC
Thiruvananthapuram,"VPC-PARASSALA,PARASSALA,PARASSALA,695502",VETERINARY POLY CLINIC
Kollam,"DVC-OLAYIL,KOLLAM,THEVALLY,691009",DISTRICT VETERINARY CENTRE
Kollam,"VD- VAYAKAL,MELILA,VAYAKAL,691584",VETERINARY DISPENSARY
Kollam,"VD-ADICHANALLUR,ADICHCHANALLUR,ADICHANALLUR,691573",VETERINARY DISPENSARY
Kollam,"VD-ALAPPAD,ALAPPAD,CHERIAZHIKKAL,690573",VETERINARY DISPENSARY
Kollam,"VD-ARINALLOOR,THEVALAKKARA,CHAVARA,691583",VETERINARY DISPENSARY
Kollam,"VD-ARYANKAVU,THENMALA,KAZHATHURUTHY,691316",VETERINARY DISPENSARY
Kollam,"VD-CHADAYAMANGALAM,CHADAYAMANGALAM,691534",VETERINARY DISPENSARY
Kollam,"VD-CHENGAMANADU,MELILA,CHENGAMANADU,691557",VETERINARY DISPENSARY
Kollam,"VD-CHIRAKKARA,CHIRAKKARA,632545",VETERINARY DISPENSARY
Kollam,"VD-CHITHARA,CHITHARA,691559",VETERINARY DISPENSARY
Kollam,"VD-ERAVIPURAM,THEKKEVILA,695",VETERINARY DISPENSARY
Kollam,"VD-EZHUKONE,EZHUKON,AMBALATHINKALA,691505",VETERINARY DISPENSARY
Kollam,"VD-INCHIKKAD,MYLAM,INCHIKKADU,691560",VETERINARY DISPENSARY
Kollam,"VD-INCHIKKADU,MYLAM,INCHIKKADU,691560",VETERINARY DISPENSARY
Kollam,"VD-KADUVATHODE,CHELIKKUZHY,695",VETERINARY DISPENSARY
Kollam,"VD-KANJAVELLY,THRIKKARUVA,KANJIVELLY,691602",VETERINARY DISPENSARY
Kollam,"VD-KANNALLUR,THRIKKOVILVATTOM,KANNALLUR,691576",VETERINARY DISPENSARY
Kollam,"VD-KANNETTIL,KARUNAGAPPALLY,S V MARKET,690573",VETERINARY DISPENSARY
Kollam,"VD-KARAVOOR,PIRAVANTHUR,PIRAVANTHOOR,689690",VETERINARY DISPENSARY
Kollam,"VD-KIZHAKKEKALLADA,EAST KALLADA,EAST KALLADA,691502",VETERINARY DISPENSARY
